"CUSTOMER_KEY" "year_day" "TOU_CD" "MODEL_ID" "Month" "Day" "Year" "mdy" "predicted_usage" "GEO_KEY" "train_indicator_prediction" "model_indicator_prediction" "week_day" "season" "Actual_Usage" "median_temp" "train_indicator_actual" "model_indicator_actual" "residual" "on_off_peak"
10042974 1 "Winter-On-Peak" 2 1 1 2013 2013-01-01 16.4042501662218 "AA" "TEST" "Temperature Model" "Tues" "Winter" 14.08 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -2.32425016622179 "On-Peak"
10042974 2 "Winter-On-Peak" 2 1 2 2013 2013-01-02 16.4042501662218 "AA" "TEST" "Temperature Model" "Wed" "Winter" 7.11 71 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -9.29425016622179 "On-Peak"
10042974 3 "Winter-On-Peak" 2 1 3 2013 2013-01-03 16.4042501662218 "AA" "TEST" "Temperature Model" "Thurs" "Winter" 9.64 71 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -6.76425016622179 "On-Peak"
10042974 4 "Winter-On-Peak" 2 1 4 2013 2013-01-04 16.4042501662218 "AA" "TEST" "Temperature Model" "Fri" "Winter" 14.792 72.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -1.61225016622179 "On-Peak"
10042974 5 "Winter-Off-Peak" 2 1 5 2013 2013-01-05 13.1832307692308 "AA" "TEST" "Temperature Model" "Sat" "Winter" 20.038 76.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 6.85476923076923 "Off-Peak"
10042974 6 "Winter-Off-Peak" 2 1 6 2013 2013-01-06 13.1832307692308 "AA" "TEST" "Temperature Model" "Sun" "Winter" 19.848 76.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 6.66476923076923 "Off-Peak"
10042974 7 "Winter-On-Peak" 2 1 7 2013 2013-01-07 16.4042501662218 "AA" "TEST" "Temperature Model" "Mon" "Winter" 11.966 76.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -4.43825016622179 "On-Peak"
10042974 8 "Winter-On-Peak" 2 1 8 2013 2013-01-08 16.4042501662218 "AA" "TEST" "Temperature Model" "Tues" "Winter" 25.143 89 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 8.73874983377821 "On-Peak"
10042974 9 "Winter-On-Peak" 2 1 9 2013 2013-01-09 16.4042501662218 "AA" "TEST" "Temperature Model" "Wed" "Winter" 12.133 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -4.27125016622179 "On-Peak"
10042974 10 "Winter-On-Peak" 2 1 10 2013 2013-01-10 16.4042501662218 "AA" "TEST" "Temperature Model" "Thurs" "Winter" 9.135 73 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -7.26925016622179 "On-Peak"
10042974 11 "Winter-On-Peak" 2 1 11 2013 2013-01-11 16.4042501662218 "AA" "TEST" "Temperature Model" "Fri" "Winter" 17.425 77.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 1.02074983377821 "On-Peak"
10042974 12 "Winter-Off-Peak" 2 1 12 2013 2013-01-12 13.1832307692308 "AA" "TEST" "Temperature Model" "Sat" "Winter" 10.909 81 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -2.27423076923077 "Off-Peak"
10042974 13 "Winter-Off-Peak" 2 1 13 2013 2013-01-13 13.1832307692308 "AA" "TEST" "Temperature Model" "Sun" "Winter" 10.414 72 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -2.76923076923077 "Off-Peak"
10042974 14 "Winter-On-Peak" 2 1 14 2013 2013-01-14 16.4042501662218 "AA" "TEST" "Temperature Model" "Mon" "Winter" 13.386 69 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -3.01825016622179 "On-Peak"
10042974 15 "Winter-On-Peak" 2 1 15 2013 2013-01-15 16.4042501662218 "AA" "TEST" "Temperature Model" "Tues" "Winter" 7.54 69.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -8.86425016622179 "On-Peak"
10042974 16 "Winter-On-Peak" 2 1 16 2013 2013-01-16 16.4042501662218 "AA" "TEST" "Temperature Model" "Wed" "Winter" 9.3 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -7.10425016622179 "On-Peak"
10042974 17 "Winter-On-Peak" 2 1 17 2013 2013-01-17 16.4042501662218 "AA" "TEST" "Temperature Model" "Thurs" "Winter" 12.122 77.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -4.28225016622179 "On-Peak"
10042974 18 "Winter-On-Peak" 2 1 18 2013 2013-01-18 16.4042501662218 "AA" "TEST" "Temperature Model" "Fri" "Winter" 23.533 92.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 7.12874983377821 "On-Peak"
10042974 19 "Winter-Off-Peak" 2 1 19 2013 2013-01-19 13.1832307692308 "AA" "TEST" "Temperature Model" "Sat" "Winter" 7.124 74 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -6.05923076923077 "Off-Peak"
10042974 20 "Winter-Off-Peak" 2 1 20 2013 2013-01-20 13.1832307692308 "AA" "TEST" "Temperature Model" "Sun" "Winter" 8.45 72 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -4.73323076923077 "Off-Peak"
10042974 21 "Winter-On-Peak" 2 1 21 2013 2013-01-21 16.4042501662218 "AA" "TEST" "Temperature Model" "Mon" "Winter" 13.091 74.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -3.31325016622179 "On-Peak"
10042974 22 "Winter-On-Peak" 2 1 22 2013 2013-01-22 16.4042501662218 "AA" "TEST" "Temperature Model" "Tues" "Winter" 9.05 77.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -7.35425016622179 "On-Peak"
10042974 23 "Winter-On-Peak" 2 1 23 2013 2013-01-23 16.4042501662218 "AA" "TEST" "Temperature Model" "Wed" "Winter" 7.486 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -8.91825016622179 "On-Peak"
10042974 24 "Winter-On-Peak" 2 1 24 2013 2013-01-24 16.4042501662218 "AA" "TEST" "Temperature Model" "Thurs" "Winter" 7.937 77.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -8.46725016622179 "On-Peak"
10042974 25 "Winter-On-Peak" 2 1 25 2013 2013-01-25 16.4042501662218 "AA" "TEST" "Temperature Model" "Fri" "Winter" 10.135 78 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -6.26925016622179 "On-Peak"
10042974 26 "Winter-Off-Peak" 2 1 26 2013 2013-01-26 13.1832307692308 "AA" "TEST" "Temperature Model" "Sat" "Winter" 9.974 79 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -3.20923076923077 "Off-Peak"
10042974 27 "Winter-Off-Peak" 2 1 27 2013 2013-01-27 13.1832307692308 "AA" "TEST" "Temperature Model" "Sun" "Winter" 9.99 70.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -3.19323076923077 "Off-Peak"
10042974 28 "Winter-On-Peak" 2 1 28 2013 2013-01-28 16.4042501662218 "AA" "TEST" "Temperature Model" "Mon" "Winter" 8.084 71 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -8.32025016622179 "On-Peak"
10042974 29 "Winter-On-Peak" 2 1 29 2013 2013-01-29 16.4042501662218 "AA" "TEST" "Temperature Model" "Tues" "Winter" 12.056 73 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -4.34825016622179 "On-Peak"
10042974 30 "Winter-On-Peak" 2 1 30 2013 2013-01-30 16.4042501662218 "AA" "TEST" "Temperature Model" "Wed" "Winter" 9.308 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -7.09625016622179 "On-Peak"
10042974 31 "Winter-On-Peak" 2 1 31 2013 2013-01-31 16.4042501662218 "AA" "TEST" "Temperature Model" "Thurs" "Winter" 16.645 76 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 0.240749833778207 "On-Peak"
10042974 32 "Winter-On-Peak" 2 2 1 2013 2013-02-01 16.0653243560588 "AA" "TEST" "Temperature Model" "Fri" "Winter" 9.302 72 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -6.76332435605877 "On-Peak"
10042974 33 "Winter-Off-Peak" 2 2 2 2013 2013-02-02 13.1832307692308 "AA" "TEST" "Temperature Model" "Sat" "Winter" 12.542 63.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -0.641230769230773 "Off-Peak"
10042974 34 "Winter-Off-Peak" 2 2 3 2013 2013-02-03 13.1832307692308 "AA" "TEST" "Temperature Model" "Sun" "Winter" 8.441 66.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -4.74223076923077 "Off-Peak"
10042974 35 "Winter-On-Peak" 2 2 4 2013 2013-02-04 16.0653243560588 "AA" "TEST" "Temperature Model" "Mon" "Winter" 9.678 69.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -6.38732435605877 "On-Peak"
