"CUSTOMER_KEY" "year_day" "TOU_CD" "MODEL_ID" "Month" "Day" "Year" "mdy" "predicted_usage" "GEO_KEY" "train_indicator_prediction" "model_indicator_prediction" "week_day" "season" "Actual_Usage" "median_temp" "train_indicator_actual" "model_indicator_actual" "residual" "on_off_peak"
8664162 1 "Winter-On-Peak" 2 1 1 2013 2013-01-01 30.7842424242424 "BB" "TEST" "Temperature Model" "Tues" "Winter" 66.4 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 35.6157575757576 "On-Peak"
8664162 2 "Winter-On-Peak" 2 1 2 2013 2013-01-02 30.7842424242424 "BB" "TEST" "Temperature Model" "Wed" "Winter" 30.629 71 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -0.155242424242417 "On-Peak"
8664162 3 "Winter-On-Peak" 2 1 3 2013 2013-01-03 30.7842424242424 "BB" "TEST" "Temperature Model" "Thurs" "Winter" 42.533 71 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 11.7487575757576 "On-Peak"
8664162 4 "Winter-On-Peak" 2 1 4 2013 2013-01-04 30.7842424242424 "BB" "TEST" "Temperature Model" "Fri" "Winter" 34.722 72.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 3.93775757575758 "On-Peak"
8664162 5 "Winter-Off-Peak" 2 1 5 2013 2013-01-05 30.0077701122544 "BB" "TEST" "Temperature Model" "Sat" "Winter" 36.781 76.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 6.77322988774555 "Off-Peak"
8664162 6 "Winter-Off-Peak" 2 1 6 2013 2013-01-06 30.0077701122544 "BB" "TEST" "Temperature Model" "Sun" "Winter" 37.147 76.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 7.13922988774555 "Off-Peak"
8664162 7 "Winter-On-Peak" 2 1 7 2013 2013-01-07 30.7842424242424 "BB" "TEST" "Temperature Model" "Mon" "Winter" 41.165 76.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 10.3807575757576 "On-Peak"
8664162 8 "Winter-On-Peak" 2 1 8 2013 2013-01-08 30.7842424242424 "BB" "TEST" "Temperature Model" "Tues" "Winter" 49.234 89 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 18.4497575757576 "On-Peak"
8664162 9 "Winter-On-Peak" 2 1 9 2013 2013-01-09 30.7842424242424 "BB" "TEST" "Temperature Model" "Wed" "Winter" 30.402 73.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" -0.382242424242417 "On-Peak"
8664162 10 "Winter-On-Peak" 2 1 10 2013 2013-01-10 30.7842424242424 "BB" "TEST" "Temperature Model" "Thurs" "Winter" 30.942 73 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 0.157757575757582 "On-Peak"
8664162 11 "Winter-On-Peak" 2 1 11 2013 2013-01-11 30.7842424242424 "BB" "TEST" "Temperature Model" "Fri" "Winter" 47.779 77.5 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 16.9947575757576 "On-Peak"
8664162 12 "Winter-Off-Peak" 2 1 12 2013 2013-01-12 30.0077701122544 "BB" "TEST" "Temperature Model" "Sat" "Winter" 47.659 81 "ACTUAL_Usage" "ACTUAL_Usage_Baseline" 17.6512298877456 "Off-Peak"
